pressure_bar,scenario,cop,gross_kJ_per_kg,electrical_kJ_per_kg,w_pump_kJ_per_kg,net_kJ_per_kg,mass_flow_kg_per_s
70,single_phase_best,3.0,80.76923076923076,60.576923076923066,26.92307692307692,33.653846153846146,2.971428571428572
70,single_phase_best,4.0,80.76923076923076,60.576923076923066,20.19230769230769,40.38461538461537,2.4761904761904767
70,single_phase_best,5.0,80.76923076923076,60.576923076923066,16.153846153846153,44.42307692307691,2.2510822510822517
70,single_phase_best,6.0,80.76923076923076,60.576923076923066,13.46153846153846,47.115384615384606,2.1224489795918373
70,single_phase_best,7.0,80.76923076923076,60.576923076923066,11.538461538461537,49.03846153846153,2.03921568627451
70,single_phase_best,8.0,80.76923076923076,60.576923076923066,10.096153846153845,50.48076923076922,1.9809523809523815
70,single_phase_best,9.0,80.76923076923076,60.576923076923066,8.974358974358973,51.602564102564095,1.9378881987577643
70,single_phase_best,10.0,80.76923076923076,60.576923076923066,8.076923076923077,52.499999999999986,1.9047619047619053
70,two_phase_optimistic,3.0,80.76923076923076,42.0,26.92307692307692,15.07692307692308,6.632653061224489
70,two_phase_optimistic,4.0,80.76923076923076,42.0,20.19230769230769,21.80769230769231,4.585537918871252
70,two_phase_optimistic,5.0,80.76923076923076,42.0,16.153846153846153,25.846153846153847,3.8690476190476186
70,two_phase_optimistic,6.0,80.76923076923076,42.0,13.46153846153846,28.53846153846154,3.504043126684636
70,two_phase_optimistic,7.0,80.76923076923076,42.0,11.538461538461537,30.461538461538463,3.2828282828282824
70,two_phase_optimistic,8.0,80.76923076923076,42.0,10.096153846153845,31.903846153846153,3.134418324291742
70,two_phase_optimistic,9.0,80.76923076923076,42.0,8.974358974358973,33.02564102564103,3.0279503105590058
70,two_phase_optimistic,10.0,80.76923076923076,42.0,8.076923076923077,33.92307692307692,2.9478458049886624
70,two_phase_conservative,3.0,80.76923076923076,21.807692307692303,26.92307692307692,-5.115384615384617,inf
70,two_phase_conservative,4.0,80.76923076923076,21.807692307692303,20.19230769230769,1.6153846153846132,61.90476190476199
70,two_phase_conservative,5.0,80.76923076923076,21.807692307692303,16.153846153846153,5.65384615384615,17.687074829931987
70,two_phase_conservative,6.0,80.76923076923076,21.807692307692303,13.46153846153846,8.346153846153843,11.981566820276502
70,two_phase_conservative,7.0,80.76923076923076,21.807692307692303,11.538461538461537,10.269230769230766,9.737827715355808
70,two_phase_conservative,8.0,80.76923076923076,21.807692307692303,10.096153846153845,11.711538461538458,8.53858784893268
70,two_phase_conservative,9.0,80.76923076923076,21.807692307692303,8.974358974358973,12.83333333333333,7.792207792207794
70,two_phase_conservative,10.0,80.76923076923076,21.807692307692303,8.076923076923077,13.730769230769226,7.282913165266108
80,single_phase_best,3.0,92.30769230769229,69.23076923076923,30.769230769230763,38.46153846153847,2.5999999999999996
80,single_phase_best,4.0,92.30769230769229,69.23076923076923,23.076923076923073,46.15384615384615,2.1666666666666665
80,single_phase_best,5.0,92.30769230769229,69.23076923076923,18.46153846153846,50.76923076923077,1.9696969696969697
80,single_phase_best,6.0,92.30769230769229,69.23076923076923,15.384615384615381,53.84615384615385,1.8571428571428572
80,single_phase_best,7.0,92.30769230769229,69.23076923076923,13.186813186813184,56.043956043956044,1.784313725490196
80,single_phase_best,8.0,92.30769230769229,69.23076923076923,11.538461538461537,57.69230769230769,1.7333333333333332
80,single_phase_best,9.0,92.30769230769229,69.23076923076923,10.256410256410255,58.97435897435897,1.6956521739130437
80,single_phase_best,10.0,92.30769230769229,69.23076923076923,9.23076923076923,60.0,1.6666666666666667
80,two_phase_optimistic,3.0,92.30769230769229,48.0,30.769230769230763,17.230769230769237,5.803571428571426
80,two_phase_optimistic,4.0,92.30769230769229,48.0,23.076923076923073,24.923076923076927,4.012345679012345
80,two_phase_optimistic,5.0,92.30769230769229,48.0,18.46153846153846,29.53846153846154,3.3854166666666665
80,two_phase_optimistic,6.0,92.30769230769229,48.0,15.384615384615381,32.61538461538462,3.066037735849056
80,two_phase_optimistic,7.0,92.30769230769229,48.0,13.186813186813184,34.81318681318682,2.872474747474747
80,two_phase_optimistic,8.0,92.30769230769229,48.0,11.538461538461537,36.46153846153847,2.7426160337552736
80,two_phase_optimistic,9.0,92.30769230769229,48.0,10.256410256410255,37.743589743589745,2.6494565217391304
80,two_phase_optimistic,10.0,92.30769230769229,48.0,9.23076923076923,38.769230769230774,2.579365079365079
80,two_phase_conservative,3.0,92.30769230769229,24.92307692307692,30.769230769230763,-5.846153846153843,inf
80,two_phase_conservative,4.0,92.30769230769229,24.92307692307692,23.076923076923073,1.8461538461538467,54.16666666666665
80,two_phase_conservative,5.0,92.30769230769229,24.92307692307692,18.46153846153846,6.46153846153846,15.47619047619048
80,two_phase_conservative,6.0,92.30769230769229,24.92307692307692,15.384615384615381,9.538461538461538,10.483870967741934
80,two_phase_conservative,7.0,92.30769230769229,24.92307692307692,13.186813186813184,11.736263736263735,8.52059925093633
80,two_phase_conservative,8.0,92.30769230769229,24.92307692307692,11.538461538461537,13.384615384615383,7.471264367816093
80,two_phase_conservative,9.0,92.30769230769229,24.92307692307692,10.256410256410255,14.666666666666664,6.818181818181819
80,two_phase_conservative,10.0,92.30769230769229,24.92307692307692,9.23076923076923,15.69230769230769,6.3725490196078445
100,single_phase_best,3.0,115.38461538461537,86.53846153846153,38.46153846153846,48.07692307692307,2.08
100,single_phase_best,4.0,115.38461538461537,86.53846153846153,28.846153846153843,57.69230769230769,1.7333333333333332
100,single_phase_best,5.0,115.38461538461537,86.53846153846153,23.076923076923073,63.46153846153846,1.5757575757575757
100,single_phase_best,6.0,115.38461538461537,86.53846153846153,19.23076923076923,67.3076923076923,1.4857142857142855
100,single_phase_best,7.0,115.38461538461537,86.53846153846153,16.483516483516482,70.05494505494505,1.427450980392157
100,single_phase_best,8.0,115.38461538461537,86.53846153846153,14.423076923076922,72.11538461538461,1.3866666666666667
100,single_phase_best,9.0,115.38461538461537,86.53846153846153,12.82051282051282,73.71794871794872,1.3565217391304347
100,single_phase_best,10.0,115.38461538461537,86.53846153846153,11.538461538461537,75.0,1.3333333333333333
100,two_phase_optimistic,3.0,115.38461538461537,60.0,38.46153846153846,21.53846153846154,4.642857142857142
100,two_phase_optimistic,4.0,115.38461538461537,60.0,28.846153846153843,31.153846153846157,3.209876543209876
100,two_phase_optimistic,5.0,115.38461538461537,60.0,23.076923076923073,36.92307692307693,2.708333333333333
100,two_phase_optimistic,6.0,115.38461538461537,60.0,19.23076923076923,40.769230769230774,2.452830188679245
100,two_phase_optimistic,7.0,115.38461538461537,60.0,16.483516483516482,43.51648351648352,2.297979797979798
100,two_phase_optimistic,8.0,115.38461538461537,60.0,14.423076923076922,45.57692307692308,2.1940928270042193
100,two_phase_optimistic,9.0,115.38461538461537,60.0,12.82051282051282,47.17948717948718,2.119565217391304
100,two_phase_optimistic,10.0,115.38461538461537,60.0,11.538461538461537,48.46153846153847,2.0634920634920633
100,two_phase_conservative,3.0,115.38461538461537,31.15384615384615,38.46153846153846,-7.30769230769231,inf
100,two_phase_conservative,4.0,115.38461538461537,31.15384615384615,28.846153846153843,2.3076923076923066,43.33333333333335
100,two_phase_conservative,5.0,115.38461538461537,31.15384615384615,23.076923076923073,8.076923076923077,12.380952380952381
100,two_phase_conservative,6.0,115.38461538461537,31.15384615384615,19.23076923076923,11.92307692307692,8.38709677419355
100,two_phase_conservative,7.0,115.38461538461537,31.15384615384615,16.483516483516482,14.670329670329668,6.816479400749065
100,two_phase_conservative,8.0,115.38461538461537,31.15384615384615,14.423076923076922,16.730769230769226,5.977011494252875
100,two_phase_conservative,9.0,115.38461538461537,31.15384615384615,12.82051282051282,18.33333333333333,5.454545454545456
100,two_phase_conservative,10.0,115.38461538461537,31.15384615384615,11.538461538461537,19.615384615384613,5.098039215686275
120,single_phase_best,3.0,138.46153846153845,103.84615384615384,46.15384615384615,57.692307692307686,1.7333333333333334
120,single_phase_best,4.0,138.46153846153845,103.84615384615384,34.61538461538461,69.23076923076923,1.4444444444444446
120,single_phase_best,5.0,138.46153846153845,103.84615384615384,27.69230769230769,76.15384615384615,1.3131313131313134
120,single_phase_best,6.0,138.46153846153845,103.84615384615384,23.076923076923077,80.76923076923076,1.2380952380952381
120,single_phase_best,7.0,138.46153846153845,103.84615384615384,19.780219780219777,84.06593406593406,1.189542483660131
120,single_phase_best,8.0,138.46153846153845,103.84615384615384,17.307692307692307,86.53846153846153,1.1555555555555557
120,single_phase_best,9.0,138.46153846153845,103.84615384615384,15.384615384615383,88.46153846153845,1.1304347826086958
120,single_phase_best,10.0,138.46153846153845,103.84615384615384,13.846153846153845,90.0,1.1111111111111112
120,two_phase_optimistic,3.0,138.46153846153845,72.0,46.15384615384615,25.846153846153847,3.8690476190476186
120,two_phase_optimistic,4.0,138.46153846153845,72.0,34.61538461538461,37.38461538461539,2.6748971193415634
120,two_phase_optimistic,5.0,138.46153846153845,72.0,27.69230769230769,44.30769230769231,2.2569444444444446
120,two_phase_optimistic,6.0,138.46153846153845,72.0,23.076923076923077,48.92307692307692,2.0440251572327046
120,two_phase_optimistic,7.0,138.46153846153845,72.0,19.780219780219777,52.21978021978022,1.9149831649831652
120,two_phase_optimistic,8.0,138.46153846153845,72.0,17.307692307692307,54.69230769230769,1.8284106891701828
120,two_phase_optimistic,9.0,138.46153846153845,72.0,15.384615384615383,56.61538461538461,1.7663043478260871
120,two_phase_optimistic,10.0,138.46153846153845,72.0,13.846153846153845,58.15384615384615,1.7195767195767195
120,two_phase_conservative,3.0,138.46153846153845,37.38461538461538,46.15384615384615,-8.769230769230774,inf
120,two_phase_conservative,4.0,138.46153846153845,37.38461538461538,34.61538461538461,2.7692307692307665,36.11111111111115
120,two_phase_conservative,5.0,138.46153846153845,37.38461538461538,27.69230769230769,9.69230769230769,10.31746031746032
120,two_phase_conservative,6.0,138.46153846153845,37.38461538461538,23.076923076923077,14.307692307692303,6.98924731182796
120,two_phase_conservative,7.0,138.46153846153845,37.38461538461538,19.780219780219777,17.604395604395602,5.680399500624221
120,two_phase_conservative,8.0,138.46153846153845,37.38461538461538,17.307692307692307,20.076923076923073,4.980842911877395
120,two_phase_conservative,9.0,138.46153846153845,37.38461538461538,15.384615384615383,21.999999999999996,4.545454545454546
120,two_phase_conservative,10.0,138.46153846153845,37.38461538461538,13.846153846153845,23.538461538461533,4.248366013071896
